UUID;Version;Name (no);Name (en);Name (da);Name (sv);Category (original);Category (en);Compliance;Background database(s);Location code;Type;Reference year;Valid until;URL;Declaration owner;Publication date;Registration number;Registration authority;Predecessor UUID;Predecessor Version;Predecessor URL;Ref. quantity;Ref. unit;Reference flow UUID;Reference flow name;Bulk Density (kg/m3);Grammage (kg/m2);Gross Density (kg/m3);Layer Thickness (m);Productiveness (m2);Linear Density (kg/m);Weight Per Piece (kg);Conversion factor to 1kg;Carbon content (biogenic) in kg;Carbon content (biogenic) - packaging in kg;Module;Scenario;Scenario Description;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);GWP_IOBC_GHG;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;A1-A3;;;;;;;;;;319;2.19;321;248;11.1;259;7.73;0;0;0.321;0.000165;3.073;0.00625;0;0;0;0;0;0.0914;16.8;0.0121;17;0.0239;139;0.00000101;0.0172;0.0000797;0.307;0.0000000363;0.000000103;0.278;55.8;0.0000000115;0.0431;248;0.00184;2.91;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;A4;;;;;;;;;;1.99;0;1.99;28.3;0;28.3;0;0;0;0.00219;0.000000000105;0.00407;0.0000366;0;0;0;0;0;0.00861;2.11;0.00612;2.08;0.0191;19.7;0.0000000535;0.00403;0.00000752;0.0451;0.000000000401;0.0000000247;0.00528;11.7;0;0.00785;28.3;0.000000133;0.0238;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;A5;;;;;;;;;;2.83;-2.19;0.643;24.2;-11.1;13.1;0.0122;0;0;0.00997;0.00000000989;0.0616;0.0000219;0;0;0;1.49;2.64;0.00338;2.15;0.0224;2.12;0.000409;3.13;0.0000000419;0.000765;0.00000102;0.00826;0.0000000127;0.0000000206;0.0245;0.657;0;0.0026;13.1;0.0000071;0.401;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;B2;;;;;;;;;;11.5;0;11.5;21.2;0;21.2;0;0;0;0.0495;0.000000000243;0.588;0.000235;0;0;0;0;0;0.00605;0.911;-0.356;1.06;0.205;33.1;0.0000000655;0.00325;0.000181;0.0151;0.00000000433;0.000000325;0.0733;24.3;0.0000000262;0.00487;20.9;0.00000799;2.08;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;C1;;;;;;;;;;0.17;0;0.17;0.123;0;0.123;0;0;0;0.000235;-0.000000000014;0.0000889;0.00000336;0;0;0;0;0;0.0000268;0.00916;0.000036;0.00905;0.0000705;0.0791;0.00000000016;0.0000121;0.0000000315;0.000135;0.000000000006;0.000000000098;0.000398;0.0536;0;0.0000241;0.122;0.00000000129;0.000353;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;C2;;;;;;;;;;0.0945;0;0.0945;1.3;0;1.3;0;0;0;0.000104;0.000000000004;0.000199;0.00000244;0;0;0;0;0;0.000373;0.0967;0.000282;0.0956;0.000883;0.922;0.00000000212;0.000174;0.000000349;0.00194;0.000000000019;0.00000000116;0.000364;0.543;0;0.000337;1.3;0.00000000628;0.00115;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;C3;;;;;;;;;;0.0782;0;0.0782;7.46;0;7.46;0;0;0;0.000555;0;0;0;0;8.97;0;0;0;0.00552;0.541;0.000292;0.541;0.000102;4.82;0.000000144;0.00241;0.0000314;0.0263;0.000000000159;0.00000000397;0.0358;1.08;0.000000112;0.00724;7.46;0.000000885;0.0238;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;C4;;;;;;;;;;0.434;0;0.434;2.66;0;2.66;0;0;0;0.000672;0.000000000058;13.3;0.0000303;0;0;0;0;0;0.00142;0.194;-0.00664;0.2;0.000621;1.45;0.0000000174;0.00403;0.000366;0.000366;0.000000000224;0.0000000246;0.0035;0.646;0.000000000001;0.00111;2.66;0.00000000921;0.0219;;
98bf1f1c-275a-428f-9f27-6e07ec19f810;00.03.000;;AST S LEC and AST S+ LEC wall-panel;;;'Byggevarer' / 'Bygningsplater / Skillevegg';'Construction' / 'Building boards';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/98bf1f1c-275a-428f-9f27-6e07ec19f810?version=00.03.000;Paroc panel systems;2023-11-22;NEPD-5438-4715-EN;EPD Norway;;;;1;qm;487800d2-ae77-46a3-9fdb-65f0cbab587d;AST S LEC and AST S+ LEC wall-panel;;;;;;;;;0;0;D;;;;;;;;;;-4.63;0;-4.63;-10.8;0;-10.8;0;0;0;-0.00477;0.000000000358;-0.0187;-0.00018;0;0;0;0;0;-0.00262;-1.17;-0.00258;-1.16;-0.000366;-2.57;-0.0000000358;-0.000668;-0.00000198;-0.00714;-0.0000000013;-0.0000000168;-0.0188;-4.99;-0.000000000003;-0.00223;-10.7;-0.0000000694;-0.0326;;
