UUID;Version;Name (no);Name (en);Name (da);Name (sv);Category (original);Category (en);Compliance;Background database(s);Location code;Type;Reference year;Valid until;URL;Declaration owner;Publication date;Registration number;Registration authority;Predecessor UUID;Predecessor Version;Predecessor URL;Ref. quantity;Ref. unit;Reference flow UUID;Reference flow name;Bulk Density (kg/m3);Grammage (kg/m2);Gross Density (kg/m3);Layer Thickness (m);Productiveness (m2);Linear Density (kg/m);Weight Per Piece (kg);Conversion factor to 1kg;Carbon content (biogenic) in kg;Carbon content (biogenic) - packaging in kg;Module;Scenario;Scenario Description;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);GWP_IOBC_GHG;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;A1-A3;;;;;;;;;;1.51;1.09;2.6;11.2;1.97;13.2;0.194;0;0;0.00234;0.000000491;0.124;0.000285;0;0;0;0;0;0.00305;1.31;-0.0944;1.4;0.000267;2.93;0.000000161;0.000673;0.000000786;0.0119;0.000000000568;0.00000000523;0.0324;15.9;0.000000000001;0.00175;13.2;0.0000000676;0.0371;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;A4;;;;;;;;;;0.00224;0;0.00224;0.0395;0;0.0395;0;0;0;0.00000253;0;0.00000566;0.0000000486;0;0;0;0;0;0.00000246;0.00297;0;0.00293;0.0000164;0.0273;0.000000000025;0.000000703;0.0000000088;0.00000854;0.000000000001;0.00000000003;0.00000713;0.0136;0;0.00000212;0.0394;0.000000000246;0.0000264;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;A5;;;;;;;;;;1.09;-1.06;0.0372;0.851;-0.574;0.277;0.00388;0;0;0.000424;0.00000000982;0.0242;0.00000767;0;0;0.0782;0;0;0.0000825;0.17;0.096;0.0739;0.00000629;0.0634;0.0000000031;0.0000198;0.000000018;0.000336;0.000000000012;0.000000000166;0.000981;0.0425;0;0.0000517;0.276;0.00000000155;0.0168;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;C1;;;;;;;;;;0.118;0;0.118;0.213;0;0.213;0;0;0;0.000113;0.000000000019;0.000161;0.0000341;0;0;0;0;0;0.0000258;0.0119;0.000106;0.0118;0.00000249;0.0935;0.000000000214;0.00000579;0.0000000343;0.0000608;0.000000000003;0.000000000099;0.00578;0.0769;0;0.0000157;0.213;0.0000000032;0.00268;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;C2;;;;;;;;;;0.00268;0;0.00268;0.0472;0;0.0472;0;0;0;0.00000303;0;0.00000677;0.0000000582;0;0;0;0;0;0.000012;0.0036;0.0000226;0.00356;0.0000197;0.0327;0.000000000064;0.00000558;0.0000000105;0.0000623;0.000000000001;0.00000000004;0.00000853;0.0162;0;0.0000108;0.0471;0.000000000295;0.0000316;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;C3;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;C4;;;;;;;;;;0.0665;-0.0362;0.0303;1.6;-1.39;0.202;0;0;0;0.0000513;0.00000000001;1.03;0.00000225;0;0;0;0;0;0.000109;0.0155;0.0000597;0.0154;0.0000285;2.934068;0.000000161;0.000028;0.0000000261;0.000307;0.000000000568;0.00000000523;0.032444;15.89637;0;0.0000849;0.202;0.00000000158;0.00169;;
c898b335-b39b-4d55-bd38-ac5bf864ebf2;00.03.000;;PAROC LT Produced Stone Wool Thermal Insulation;;;'Bygg' / 'Isolasjon';'Construction' / 'Insulation';'EN 15804+A2' / 'ISO 14025' / 'ISO 21930';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';FI;specific dataset;2023;2028;https://epdnorway.lca-data.com/resource/processes/c898b335-b39b-4d55-bd38-ac5bf864ebf2?version=00.03.000;Paroc Group Oy;2023-11-07;NEPD-4339-3565-EN;EPD Norway;;;;1;qm;7d167874-40a1-4fb2-925f-1d8998509a04;PAROC LT Produced Stone Wool Thermal Insulation;;;;;;;;;0;0;D;;;;;;;;;;-0.272;0;-0.272;-0.99;0;-0.99;0;0;0;-0.000262;-0.000000000134;-0.0005;-0.0000781;0;0;0;0;0;-0.0000766;-0.0585;-0.000298;-0.0582;-0.00000641;0.027343;0.000000000025;-0.0000208;-0.0000000802;-0.000222;0.000000000001;0.00000000003;0.00000713;0.013553;0;-0.0000581;-0.989;-0.00000000879;-0.00621;;
